@RELATION emotion_activation
@ATTRIBUTE mfcc_mean_1 NUMERIC
@ATTRIBUTE mfcc_mean_2 NUMERIC
@ATTRIBUTE mfcc_mean_3 NUMERIC
@ATTRIBUTE mfcc_mean_4 NUMERIC
@ATTRIBUTE mfcc_mean_5 NUMERIC
@ATTRIBUTE mfcc_mean_6 NUMERIC
@ATTRIBUTE mfcc_mean_7 NUMERIC
@ATTRIBUTE mfcc_mean_8 NUMERIC
@ATTRIBUTE mfcc_mean_9 NUMERIC
@ATTRIBUTE mfcc_mean_10 NUMERIC
@ATTRIBUTE mfcc_mean_11 NUMERIC
@ATTRIBUTE mfcc_mean_12 NUMERIC
@ATTRIBUTE mfcc_mean_13 NUMERIC
@ATTRIBUTE mfcc_delta_mean_1 NUMERIC
@ATTRIBUTE mfcc_delta_mean_2 NUMERIC
@ATTRIBUTE mfcc_delta_mean_3 NUMERIC
@ATTRIBUTE mfcc_delta_mean_4 NUMERIC
@ATTRIBUTE mfcc_delta_mean_5 NUMERIC
@ATTRIBUTE mfcc_delta_mean_6 NUMERIC
@ATTRIBUTE mfcc_delta_mean_7 NUMERIC
@ATTRIBUTE mfcc_delta_mean_8 NUMERIC
@ATTRIBUTE mfcc_delta_mean_9 NUMERIC
@ATTRIBUTE mfcc_delta_mean_10 NUMERIC
@ATTRIBUTE mfcc_delta_mean_11 NUMERIC
@ATTRIBUTE mfcc_delta_mean_12 NUMERIC
@ATTRIBUTE mfcc_delta_mean_13 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_1 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_2 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_3 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_4 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_5 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_6 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_7 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_8 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_9 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_10 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_11 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_12 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_13 NUMERIC
@ATTRIBUTE mfcc_std_1 NUMERIC
@ATTRIBUTE mfcc_std_2 NUMERIC
@ATTRIBUTE mfcc_std_3 NUMERIC
@ATTRIBUTE mfcc_std_4 NUMERIC
@ATTRIBUTE mfcc_std_5 NUMERIC
@ATTRIBUTE mfcc_std_6 NUMERIC
@ATTRIBUTE mfcc_std_7 NUMERIC
@ATTRIBUTE mfcc_std_8 NUMERIC
@ATTRIBUTE mfcc_std_9 NUMERIC
@ATTRIBUTE mfcc_std_10 NUMERIC
@ATTRIBUTE mfcc_std_11 NUMERIC
@ATTRIBUTE mfcc_std_12 NUMERIC
@ATTRIBUTE mfcc_std_13 NUMERIC
@ATTRIBUTE mfcc_delta_std_1 NUMERIC
@ATTRIBUTE mfcc_delta_std_2 NUMERIC
@ATTRIBUTE mfcc_delta_std_3 NUMERIC
@ATTRIBUTE mfcc_delta_std_4 NUMERIC
@ATTRIBUTE mfcc_delta_std_5 NUMERIC
@ATTRIBUTE mfcc_delta_std_6 NUMERIC
@ATTRIBUTE mfcc_delta_std_7 NUMERIC
@ATTRIBUTE mfcc_delta_std_8 NUMERIC
@ATTRIBUTE mfcc_delta_std_9 NUMERIC
@ATTRIBUTE mfcc_delta_std_10 NUMERIC
@ATTRIBUTE mfcc_delta_std_11 NUMERIC
@ATTRIBUTE mfcc_delta_std_12 NUMERIC
@ATTRIBUTE mfcc_delta_std_13 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_1 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_2 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_3 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_4 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_5 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_6 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_7 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_8 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_9 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_10 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_11 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_12 NUMERIC
@ATTRIBUTE mfcc_deltadelta_std_13 NUMERIC
@ATTRIBUTE mfcc_mean_low_1 NUMERIC
@ATTRIBUTE mfcc_mean_low_2 NUMERIC
@ATTRIBUTE mfcc_mean_low_3 NUMERIC
@ATTRIBUTE mfcc_mean_low_4 NUMERIC
@ATTRIBUTE mfcc_mean_low_5 NUMERIC
@ATTRIBUTE mfcc_mean_low_6 NUMERIC
@ATTRIBUTE mfcc_mean_low_7 NUMERIC
@ATTRIBUTE mfcc_mean_low_8 NUMERIC
@ATTRIBUTE mfcc_mean_low_9 NUMERIC
@ATTRIBUTE mfcc_mean_low_10 NUMERIC
@ATTRIBUTE mfcc_mean_low_11 NUMERIC
@ATTRIBUTE mfcc_mean_low_12 NUMERIC
@ATTRIBUTE mfcc_mean_low_13 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_1 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_2 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_3 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_4 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_5 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_6 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_7 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_8 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_9 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_10 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_11 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_12 NUMERIC
@ATTRIBUTE mfcc_delta_mean_low_13 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_1 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_2 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_3 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_4 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_5 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_6 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_7 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_8 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_9 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_10 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_11 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_12 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_low_13 NUMERIC
@ATTRIBUTE mfcc_mean_high_1 NUMERIC
@ATTRIBUTE mfcc_mean_high_2 NUMERIC
@ATTRIBUTE mfcc_mean_high_3 NUMERIC
@ATTRIBUTE mfcc_mean_high_4 NUMERIC
@ATTRIBUTE mfcc_mean_high_5 NUMERIC
@ATTRIBUTE mfcc_mean_high_6 NUMERIC
@ATTRIBUTE mfcc_mean_high_7 NUMERIC
@ATTRIBUTE mfcc_mean_high_8 NUMERIC
@ATTRIBUTE mfcc_mean_high_9 NUMERIC
@ATTRIBUTE mfcc_mean_high_10 NUMERIC
@ATTRIBUTE mfcc_mean_high_11 NUMERIC
@ATTRIBUTE mfcc_mean_high_12 NUMERIC
@ATTRIBUTE mfcc_mean_high_13 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_1 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_2 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_3 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_4 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_5 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_6 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_7 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_8 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_9 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_10 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_11 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_12 NUMERIC
@ATTRIBUTE mfcc_delta_mean_high_13 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_1 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_2 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_3 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_4 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_5 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_6 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_7 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_8 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_9 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_10 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_11 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_12 NUMERIC
@ATTRIBUTE mfcc_deltadelta_mean_high_13 NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
0.70571,0.69511,0.23978,0.12439,0.13137,0.11057,0.044901,0.091224,0.106,0.041611,0.080182,-0.085051,-0.20031,-0.00013746,-0.00023621,-7.2774e-05,-3.1693e-05,0.00016005,3.8236e-05,0.00010519,0.00020863,0.00030834,-2.1771e-05,0.00010997,2.726e-05,-9.4714e-05,-1.3127e-05,-0.00010767,3.1333e-05,1.2975e-06,4.7669e-05,3.096e-05,1.2542e-05,2.6712e-05,-1.4535e-06,-4.8143e-05,-1.778e-05,-3.765e-05,1.1854e-05,0.34804,0.55447,0.3332,0.35369,0.3065,0.26956,0.27749,0.25722,0.26246,0.38433,0.26544,0.38649,0.37055,0.087858,0.097119,0.08689,0.096738,0.087847,0.082391,0.075345,0.076669,0.074348,0.072467,0.066782,0.081972,0.074099,0.038772,0.041542,0.037581,0.041705,0.038664,0.03673,0.033306,0.033666,0.033063,0.030938,0.02915,0.034381,0.031196,0.071584,-0.41712,-0.31814,-0.50245,-0.39045,-0.35869,-0.42441,-0.35912,-0.3712,-0.82326,-0.40417,-0.77518,-0.85341,-0.14053,-0.09647,-0.069244,-0.049269,-0.032359,-0.016576,0.00064614,0.018073,0.031615,0.048258,0.0669,0.090154,0.13482,-0.059223,-0.040505,-0.029354,-0.021257,-0.014729,-0.0076135,-0.00047065,0.0063519,0.013104,0.021403,0.030347,0.042066,0.059034,1.3215,1.5406,0.84274,0.73891,0.69984,0.5823,0.5453,0.54566,0.56708,0.58465,0.53782,0.55444,0.40863,-0.13486,-0.089951,-0.063742,-0.045913,-0.027553,-0.014559,0.00018128,0.015273,0.029953,0.045925,0.064396,0.089938,0.13458,-0.060974,-0.04011,-0.028703,-0.020264,-0.013267,-0.0058824,0.00034858,0.0065878,0.01405,0.020974,0.028439,0.039463,0.059192,-1
0.83499,0.69019,0.42934,0.29609,0.14025,0.086651,0.1467,-0.006407,-0.16065,0.22742,0.20459,-0.084626,-0.060599,0.000855,0.001533,-0.00086799,0.00037003,-0.00050735,-5.933e-05,-0.00039309,-0.00067817,-0.00042127,4.2234e-05,0.00045851,-0.00043976,-0.00022374,-4.8293e-05,9.7824e-05,-6.8912e-06,-6.0527e-05,0.00015305,5.7247e-05,1.7082e-07,0.00012593,-1.0662e-05,2.2211e-05,7.2635e-06,4.3225e-05,-0.00014445,0.49012,0.66355,0.36672,0.36603,0.32107,0.305,0.30726,0.25483,0.35121,0.2948,0.34233,0.26103,0.25628,0.11528,0.11092,0.089266,0.093351,0.084175,0.084714,0.07756,0.073832,0.073617,0.076579,0.0745,0.066011,0.058994,0.050106,0.043563,0.036706,0.040436,0.037422,0.036499,0.03377,0.03274,0.031137,0.032662,0.031813,0.027887,0.025354,0.031819,-0.60671,-0.26579,-0.38044,-0.44397,-0.45542,-0.39268,-0.44361,-0.71414,-0.2791,-0.30267,-0.5176,-0.48874,-0.11503,-0.082317,-0.059587,-0.044396,-0.028481,-0.01414,-0.0024426,0.01064,0.027284,0.042012,0.058196,0.081501,0.12208,-0.049891,-0.034537,-0.026145,-0.018077,-0.011543,-0.0063545,-0.00036098,0.004998,0.012408,0.018964,0.027287,0.035726,0.049986,1.7795,1.8325,1.0294,0.91183,0.67474,0.60266,0.69422,0.43793,0.50229,0.73402,0.85449,0.40758,0.42839,-0.15667,-0.10293,-0.07737,-0.053449,-0.034807,-0.017011,-0.00099352,0.01744,0.035878,0.054036,0.076241,0.10468,0.14812,-0.065187,-0.045192,-0.032762,-0.022844,-0.015272,-0.0066449,0.0010772,0.0086963,0.016087,0.022189,0.030977,0.043177,0.065244,-1
0.91375,0.13009,0.13345,-0.060722,0.10505,0.045814,-0.0057754,0.15919,0.10726,0.15502,-0.0086358,0.11949,0.11458,-0.00020514,-0.0001232,0.00010638,6.3509e-05,0.00029018,3.3838e-05,-0.00020859,-0.00019044,8.6286e-06,-8.7084e-05,-5.4995e-05,8.4013e-05,0.00016575,8.59e-05,1.984e-05,-6.1715e-07,-2.5874e-05,-0.00010693,-8.8424e-05,1.6358e-05,-9.6921e-05,2.7706e-05,3.638e-05,-3.7156e-05,-4.0031e-05,1.5293e-05,0.40423,0.56894,0.36396,0.36129,0.33722,0.32662,0.28389,0.27097,0.23966,0.28107,0.33271,0.33243,0.35628,0.095853,0.11169,0.09593,0.092414,0.087563,0.08392,0.082362,0.077475,0.072999,0.073976,0.076753,0.070134,0.075232,0.041263,0.045247,0.041795,0.040091,0.038278,0.036706,0.037078,0.034912,0.033158,0.032879,0.032901,0.030306,0.031972,0.21453,-0.86906,-0.50135,-0.70271,-0.50992,-0.51283,-0.51383,-0.29198,-0.30971,-0.3813,-0.69049,-0.56518,-0.60296,-0.13983,-0.098515,-0.070463,-0.048382,-0.02989,-0.014608,-0.00013805,0.016869,0.033432,0.050818,0.071168,0.096673,0.14239,-0.062635,-0.043093,-0.030998,-0.021848,-0.014051,-0.0059339,0.001031,0.0073119,0.014681,0.021382,0.029995,0.041609,0.05988,1.6205,1.1656,0.77612,0.55303,0.7029,0.64021,0.49071,0.65512,0.52855,0.62016,0.51101,0.62167,0.67014,-0.14733,-0.10015,-0.073952,-0.053793,-0.034953,-0.017517,0.0011475,0.016854,0.033753,0.05133,0.073047,0.097833,0.14554,-0.062572,-0.042413,-0.031835,-0.02248,-0.014868,-0.0070028,-0.0001385,0.0073983,0.014375,0.022177,0.032109,0.042719,0.06225,-1
0.54502,0.035491,0.4349,0.047109,0.33523,-0.2123,-0.043376,0.039794,-0.047083,-0.16529,0.027565,0.15877,-0.18079,-0.000158,-9.5512e-06,3.364e-05,0.00014131,1.8063e-05,-0.00022055,-0.00021978,0.00020832,0.00070511,0.00032258,0.00026964,-0.0001596,-0.00024812,-9.2535e-06,4.8058e-05,4.2213e-06,-1.8255e-06,1.3234e-05,-3.7651e-05,-1.6401e-07,-6.5142e-05,-5.9712e-05,1.8384e-05,3.4201e-05,6.1661e-07,7.0666e-06,0.50766,0.38143,0.32532,0.39555,0.32599,0.33471,0.27475,0.40471,0.40506,0.40887,0.5136,0.58336,0.36831,0.070839,0.064889,0.056644,0.061127,0.058082,0.056462,0.057667,0.057322,0.055024,0.05875,0.051938,0.053673,0.045876,0.029145,0.026845,0.024047,0.025407,0.025165,0.024023,0.025517,0.023325,0.023104,0.024474,0.020629,0.021958,0.018812,-0.49096,-0.66568,-0.13397,-0.62334,-0.18952,-0.78209,-0.51313,-0.69606,-0.89852,-1.0822,-1.1275,-1.0736,-0.95462,-0.091707,-0.062869,-0.045463,-0.032449,-0.020005,-0.0083151,0.0013145,0.011749,0.022661,0.034197,0.048037,0.064089,0.092229,-0.03931,-0.028061,-0.020295,-0.014078,-0.0091695,-0.0048687,-0.00013624,0.0045525,0.0092642,0.014165,0.02004,0.027946,0.041463,1.3152,0.67517,1.0312,0.73905,0.97587,0.36743,0.43889,0.7614,0.51853,0.40828,0.79623,0.86351,0.42715,-0.090166,-0.063181,-0.045313,-0.033441,-0.022534,-0.012177,-0.0023202,0.0087055,0.018722,0.031849,0.044249,0.061518,0.088637,-0.039576,-0.027496,-0.019924,-0.014167,-0.0089808,-0.0045528,-7.2227e-05,0.0045328,0.0093712,0.014708,0.019984,0.026913,0.037478,-1
1.3754,0.094639,-0.016977,-0.19795,0.10128,0.0091569,0.042662,-0.10119,-0.13856,0.0089171,-0.0050898,-0.028154,-0.028967,-0.00029466,0.00033979,2.6596e-05,6.6777e-05,-0.00029896,-7.3805e-05,9.41e-05,-5.2746e-05,-0.00015618,9.4462e-05,0.0002343,-7.3925e-05,-0.00027678,-4.7047e-05,2.1126e-05,-1.017e-05,7.4389e-05,-8.962e-05,-3.5872e-05,-2.2376e-05,2.13e-05,1.3495e-05,-1.6338e-05,2.5597e-05,-9.9752e-06,5.3128e-05,0.37218,0.35947,0.31315,0.31353,0.25121,0.29355,0.26611,0.2789,0.27135,0.25707,0.25745,0.26614,0.2212,0.086308,0.082604,0.077572,0.074373,0.071138,0.074199,0.072769,0.072737,0.062874,0.06515,0.065622,0.063565,0.056456,0.037674,0.03538,0.033211,0.0322,0.031109,0.031563,0.031716,0.031996,0.027253,0.028063,0.029165,0.027748,0.025015,0.72745,-0.566,-0.56664,-0.76084,-0.33868,-0.49269,-0.42761,-0.57624,-0.60517,-0.495,-0.4744,-0.51382,-0.41218,-0.1203,-0.085612,-0.061609,-0.044316,-0.029428,-0.015187,-0.0016763,0.012066,0.027211,0.043875,0.061627,0.083779,0.12034,-0.05294,-0.036092,-0.026015,-0.018776,-0.011733,-0.0065208,-0.00072676,0.0052994,0.012184,0.01984,0.027321,0.037459,0.052186,2.0319,0.69484,0.51528,0.31822,0.54589,0.53674,0.51674,0.38427,0.33008,0.41415,0.42836,0.42298,0.35266,-0.12685,-0.083653,-0.059001,-0.041744,-0.02668,-0.012896,0.00074791,0.013849,0.028084,0.043527,0.061151,0.085478,0.11732,-0.053435,-0.036318,-0.026339,-0.019227,-0.011521,-0.005852,-2.6081e-05,0.0065058,0.012981,0.019521,0.026925,0.037236,0.050978,-1
1.1002,0.79374,0.18867,0.021551,0.11412,0.05511,-0.00099335,-0.002712,-0.003227,0.083675,-0.071916,-0.013826,0.17231,0.00058483,0.00019184,0.00024934,0.00021334,-0.00033681,2.6052e-05,0.00010814,-5.5589e-05,0.00022021,-0.00014213,0.00015244,0.00014995,2.8582e-05,1.2741e-07,-1.9902e-06,-4.8011e-05,-4.3958e-05,3.1597e-05,-1.453e-05,-4.4842e-05,-1.9522e-05,3.5094e-05,-2.0665e-05,2.9812e-05,8.6545e-06,-2.8156e-05,0.43676,0.54908,0.38901,0.4118,0.32614,0.29946,0.28007,0.25983,0.22381,0.22716,0.23693,0.20681,0.26396,0.093895,0.090545,0.084134,0.088673,0.074363,0.070998,0.073228,0.069364,0.06396,0.066105,0.063391,0.057634,0.061141,0.040109,0.036124,0.036325,0.037683,0.032215,0.030421,0.032281,0.030259,0.028223,0.029505,0.027746,0.02599,0.026428,0.35794,-0.24185,-0.46471,-0.74344,-0.43954,-0.45388,-0.5004,-0.45756,-0.3838,-0.32858,-0.49939,-0.38298,-0.26433,-0.11146,-0.074861,-0.05582,-0.037701,-0.025378,-0.011519,1.8729e-05,0.01325,0.025519,0.03715,0.052909,0.076479,0.11508,-0.047728,-0.032287,-0.023418,-0.01645,-0.010929,-0.0056142,-0.00050681,0.004587,0.010114,0.015263,0.022409,0.032214,0.050059,1.9065,1.7273,0.87343,0.7023,0.71429,0.57972,0.48036,0.44609,0.40087,0.4697,0.32559,0.34418,0.64047,-0.11764,-0.08214,-0.059848,-0.040516,-0.024836,-0.010477,0.0026532,0.015796,0.028746,0.041799,0.059096,0.079028,0.11247,-0.050759,-0.036198,-0.025795,-0.018245,-0.012164,-0.0058917,0.00037733,0.0056991,0.012284,0.018481,0.026282,0.035698,0.050452,-1
1.258,0.57627,0.41728,0.18924,0.091567,0.066943,0.25608,0.16626,-0.027108,0.036744,0.080019,0.069217,0.06498,-0.00034028,-8.0002e-05,0.00013378,0.00024281,-8.6187e-05,0.00012825,-9.9172e-06,-0.00029135,-0.00011568,-2.0707e-05,4.8965e-05,9.2464e-06,7.8415e-06,7.2225e-05,2.1136e-05,1.4929e-06,2.8492e-05,2.6949e-05,-6.7436e-05,2.6326e-06,-1.8201e-06,-1.1957e-05,-3.2271e-05,-1.1179e-05,7.6414e-05,7.4688e-06,0.41572,0.42642,0.35598,0.32011,0.29185,0.30049,0.30406,0.25293,0.31435,0.29747,0.25903,0.30337,0.26846,0.099059,0.097395,0.093131,0.088175,0.080983,0.079675,0.079301,0.072476,0.076235,0.069998,0.068437,0.067142,0.058783,0.04143,0.041028,0.039753,0.038146,0.034908,0.034719,0.034975,0.032291,0.032384,0.029962,0.029347,0.028166,0.024631,0.52166,-0.19367,-0.22327,-0.37264,-0.40901,-0.46101,-0.32131,-0.28166,-0.55444,-0.5095,-0.38589,-0.47404,-0.45981,-0.13533,-0.093613,-0.071813,-0.051991,-0.035606,-0.018503,-0.004389,0.012395,0.030754,0.048182,0.070078,0.091833,0.13243,-0.059079,-0.042382,-0.030555,-0.02098,-0.01354,-0.0056013,0.00036648,0.0072943,0.013979,0.021631,0.029522,0.040809,0.05767,1.9687,1.293,1.019,0.7534,0.60715,0.59762,0.74349,0.61122,0.54514,0.53837,0.53216,0.60449,0.51615,-0.12534,-0.086542,-0.061714,-0.041591,-0.0283,-0.013906,-0.0011962,0.012031,0.028693,0.043096,0.062845,0.087375,0.12979,-0.055358,-0.03737,-0.027119,-0.018897,-0.011573,-0.0056459,0.00021151,0.006241,0.011766,0.018653,0.0264,0.036952,0.055977,-1
1.1481,0.35557,0.53308,0.30211,0.18318,0.071634,0.17598,0.20492,0.049277,-0.012461,0.021781,0.12661,0.066573,0.00043405,5.538e-05,0.00015269,-3.3498e-06,-0.00035497,8.2573e-05,0.00013388,0.00012357,-0.00019754,-0.00022207,8.0118e-05,0.00025399,0.00034564,-5.3959e-05,-0.00013207,1.2472e-05,3.7173e-05,3.7257e-05,1.1027e-05,-8.7007e-05,-1.9237e-05,7.5904e-05,4.0269e-05,1.9307e-05,2.8719e-05,-5.3369e-07,0.45188,0.4405,0.36529,0.28757,0.32077,0.27157,0.29852,0.27665,0.28176,0.33028,0.29254,0.33872,0.25386,0.11463,0.095547,0.094119,0.082072,0.079973,0.079639,0.080794,0.073853,0.07583,0.077637,0.069465,0.069249,0.060546,0.04875,0.04035,0.040731,0.035836,0.034731,0.035254,0.035691,0.03241,0.03285,0.033833,0.029,0.029187,0.025087,0.36409,-0.37546,-0.12954,-0.19132,-0.35605,-0.4221,-0.37496,-0.27116,-0.43716,-0.58383,-0.53107,-0.4393,-0.41185,-0.14077,-0.092742,-0.067149,-0.049362,-0.031592,-0.01487,0.0014453,0.015823,0.032394,0.052091,0.07068,0.093551,0.13668,-0.06006,-0.042457,-0.030929,-0.022429,-0.013789,-0.0065818,0.0010823,0.0080225,0.014256,0.020895,0.028941,0.039258,0.060594,1.9169,1.1474,1.1253,0.8259,0.75952,0.53621,0.67659,0.68873,0.56745,0.59959,0.4952,0.77206,0.50427,-0.12446,-0.083958,-0.061702,-0.042575,-0.026881,-0.012021,-8.0616e-05,0.014507,0.029399,0.044235,0.062157,0.084828,0.12825,-0.055143,-0.037904,-0.027387,-0.01827,-0.011702,-0.0056584,-0.00044106,0.0054334,0.01209,0.019023,0.027003,0.037581,0.057327,-1
1.0379,0.49226,0.49156,0.1333,0.24012,0.12276,0.098007,-0.0067806,-0.16248,-0.24516,0.033883,0.16043,0.10561,-0.00010433,-0.00013613,5.1788e-05,5.2021e-05,0.00010717,9.7116e-06,-7.9418e-05,-0.00037602,-0.00012867,2.5184e-06,-4.9403e-05,0.00013201,-9.4904e-05,-3.7902e-05,2.5436e-05,-2.3544e-05,3.3624e-05,-5.3032e-05,-6.0757e-05,-6.225e-05,-4.6965e-05,-1.3935e-05,4.0065e-05,7.1624e-05,-9.987e-06,-1.136e-05,0.56121,0.66142,0.34828,0.32376,0.26154,0.32234,0.27272,0.30345,0.34993,0.42501,0.37507,0.3641,0.3288,0.093624,0.084828,0.072684,0.072194,0.071641,0.068314,0.068876,0.06897,0.071436,0.072024,0.074384,0.070794,0.068695,0.038941,0.03494,0.031493,0.03164,0.03178,0.029835,0.030115,0.030314,0.031329,0.031056,0.030203,0.030478,0.028799,-0.038898,-0.67166,-0.13038,-0.46399,-0.23782,-0.39882,-0.41044,-0.58057,-0.89863,-1.1173,-0.68484,-0.36895,-0.4372,-0.15425,-0.10344,-0.070761,-0.048387,-0.031584,-0.014495,0.00072028,0.018537,0.034316,0.052349,0.070462,0.10102,0.14759,-0.064967,-0.042392,-0.030376,-0.022142,-0.01397,-0.0065323,0.00033571,0.0074593,0.014845,0.022375,0.031106,0.042721,0.062707,1.9348,1.7218,1.0737,0.68747,0.67506,0.75998,0.553,0.4641,0.35069,0.35843,0.67184,0.9295,0.73293,-0.12178,-0.085396,-0.06223,-0.043808,-0.02766,-0.014201,0.00042956,0.014369,0.028022,0.04361,0.060461,0.084064,0.12095,-0.055635,-0.040184,-0.028948,-0.020315,-0.013136,-0.0058924,8.6521e-05,0.0064773,0.012629,0.020102,0.027813,0.038819,0.05554,1
0.51695,0.28393,0.40032,0.062649,0.27569,0.0024455,0.030736,0.048499,0.093414,0.053688,0.057968,0.045793,0.080013,-0.00038736,-0.00012584,8.2266e-05,9.9538e-05,0.00024805,-0.00012549,4.3295e-05,8.7374e-05,0.00017441,9.0437e-05,-0.00015594,-0.00013605,-1.0725e-05,9.0209e-05,3.5321e-05,1.699e-06,1.8831e-05,-3.4797e-05,4.3303e-05,-3.0182e-05,-3.0691e-05,-1.9409e-05,-1.8809e-05,2.77e-05,9.5485e-05,3.2886e-05,0.50626,0.50474,0.31822,0.34345,0.31577,0.31274,0.29206,0.3116,0.3269,0.30866,0.2702,0.2677,0.25126,0.10342,0.089719,0.079383,0.078911,0.078981,0.078407,0.072951,0.073368,0.07179,0.074291,0.070177,0.065758,0.062,0.04271,0.038252,0.035075,0.034515,0.034654,0.034669,0.031433,0.03152,0.03073,0.031747,0.031444,0.028462,0.026997,-0.35886,-0.5722,-0.19332,-0.55133,-0.29351,-0.54544,-0.49077,-0.50352,-0.47514,-0.48577,-0.42416,-0.44362,-0.35883,-0.1277,-0.089551,-0.064534,-0.04625,-0.030943,-0.014702,0.00035229,0.014665,0.028522,0.04471,0.064566,0.086707,0.1266,-0.057688,-0.039302,-0.027936,-0.02014,-0.013214,-0.0067159,0.00010025,0.0064663,0.012878,0.020746,0.029164,0.039009,0.056738,1.4338,1.1542,0.91555,0.64039,0.81338,0.53837,0.53648,0.5902,0.66837,0.59544,0.51752,0.49613,0.54416,-0.12216,-0.083033,-0.060133,-0.044467,-0.026812,-0.012977,0.00054413,0.014169,0.028436,0.042043,0.060142,0.084202,0.1213,-0.053475,-0.037478,-0.026861,-0.018974,-0.01205,-0.0053652,0.00055697,0.0062199,0.01214,0.018601,0.026894,0.038028,0.052941,-1
