@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
2.092,2.0535,1.9317,1.2922,-0.55537,0.12608,-1.3269,1.1935,1.3666,0.79114,-1
0.60887,0.80496,0.004382,0.93555,0.42409,1.0619,-0.84172,0.88763,2.0527,0.97424,-1
0.53882,0.57033,0.3895,0.3617,-0.98058,-0.65372,1.2907,0.29263,0.88279,0.12163,-1
-1.5201,-1.5823,-1.1612,-0.61039,-0.75149,-0.87055,-2.755,-0.11543,-0.87918,-3.2742,-1
0.38095,0.33603,0.45292,0.035352,-0.85729,-0.24169,-2.1722,-0.35262,-0.91211,-0.59252,-1
-0.1401,-0.11721,-0.18395,-0.17603,-0.30094,-0.023675,1.0246,-0.34965,0.34094,0.5872,-1
0.20737,0.40592,-0.35296,1.2134,0.46955,-0.053926,0.73064,1.4173,0.2172,0.45453,-1
0.80455,0.91498,0.40594,1.1032,-0.10454,-0.30653,0.54912,1.501,1.3238,0.3536,-1
-1.0918,-1.0897,-0.95972,-0.65646,-0.50402,-0.62404,1.033,-0.1212,0.23603,-0.59785,1
0.61989,0.68176,0.37675,0.85212,-0.10111,-0.89919,0.30706,0.066614,-1.0696,0.20239,-1
0.52251,0.29758,1.0602,-0.41089,-1.1064,-0.68442,0.64285,0.95111,0.30169,0.79408,-1
0.67298,0.48847,1.0815,-0.097342,-0.087342,0.93328,-0.63747,1.3865,1.5059,1.1581,-1
0.44696,0.41257,0.48383,0.011888,-0.70728,-0.16493,1.1258,-1.0752,-1.2073,0.69645,-1
-0.55504,-0.51195,-0.59959,1.8482,0.15198,-0.55686,-0.67662,0.094762,0.67297,-0.15503,-1
-1.306,-1.3638,-0.98518,-1.437,0.2144,-0.72381,-0.040406,0.21734,-0.16262,-0.52541,-1
