@RELATION emotion_valence
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE valence {-1, 1}

@DATA
35715862.0432,55222133.3416,16167464.0738,24905916.0298,943.2599,405.692,5.2939,0.022726,0.11792,1.0554,1
37262120.6545,57929942.4439,16542754.0006,27565504.2252,1002.6189,396.4208,7.4548,-0.0089072,0.090361,0.97623,1
36313988.9362,55929287.3713,16640640.6456,27779836.1741,831.8416,371.8065,5.2642,0.01488,0.090862,1.0832,1
41896714.3842,62225062.5534,21526417.6994,41320215.2849,739.187,335.2314,7.5457,-0.0061228,0.06512,0.98233,1
20275441.0256,37155950.0909,3333973.3949,31085386.7394,1462.1934,327.2133,6.594,-0.0098035,0.060486,1.0372,1
30668434.1506,46598091.1958,14692917.1093,21969748.6456,848.6199,383.8811,6.3763,0.014834,0.048114,0.86101,1
25267806.0391,37559706.3042,12946337.0109,18372873.2396,720.6153,326.9478,6.1268,0.026187,0.042884,0.99676,1
11469451.5729,19591418.9996,3330750.7975,12115628.7052,2118.9599,333.8737,6.0739,-0.017966,0.11226,1.0702,1
8960271.0327,16150299.003,1745563.6774,12637903.8599,1266.3696,400.0532,7.1787,-0.0082438,0.036802,1.0959,1
22066990.4308,37924164.2444,6147731.4689,22345158.7716,1351.7415,517.7143,5.7908,0.01422,0.13549,1.0803,1
20577007.3535,32487772.6243,8640247.6012,15713518.3065,879.9037,370.8571,7.806,-0.040354,0.052028,1.0425,1
18002277.9478,30390046.1619,5569735.7404,16722649.1721,1206.5202,513.5073,6.653,-0.031298,0.14036,1.0501,1
18822054.4241,28221131.5825,9407811.6733,14393807.1027,721.3573,304.5342,6.0075,-0.031485,0.068448,0.9812,1
28822711.2803,44815396.1517,12778896.0169,24152000.3103,981.2766,357.7056,6.0188,-0.0067706,0.061068,1.1091,1
29173263.9931,44482838.0523,13813593.0171,22535002.7284,1140.7756,456.0394,5.3347,-0.016551,0.12732,1.0693,1
19609388.6374,30283130.7315,8916783.3663,13544325.2974,1048.9202,439.8211,6.7876,0.023197,0.1208,0.90833,1
16194101.0429,25430489.7666,6933942.6482,12841386.7733,1071.3808,388.8323,7.7492,-0.044811,0.11076,1.0192,1
22982401.2551,35445547.8806,10497531.0678,15713813.8296,1119.3379,445.2584,7.2587,-0.0076197,0.11059,1.0883,1
21814347.1187,34621275.6599,8962352.9831,16945598.5634,1409.7452,576.6375,7.1256,0.0070756,0.075816,0.96593,1
11851311.6226,19602313.2821,4080267.927,12534015.7149,1054.8729,357.8668,9.1944,0.052614,0.072801,0.8421,1
41123008.3396,66642403.7167,15543283.4476,31766860.555,1085.8059,361.6694,5.8428,-0.023534,0.057346,1.0711,1
15674171.5241,25325845.8047,5989814.9994,12940984.0919,1065.6073,449.3669,5.1381,-0.0518,0.034621,0.83902,1
17606320.2541,27156414.9694,8025741.5892,13940318.9717,1600.9452,497.6987,4.8661,-0.062057,0.13129,0.93892,-1
12516653.1126,21725402.8212,3278880.8351,14563389.3972,1721.2366,429.4529,5.1944,-0.0080965,0.069549,1.0064,1
